a        | 啊  | Particle                       → Ahhh, Oh, Aha
sui      | 穗  | Tassel                         → Ripening, Rice, Heading-out
sui      | 邃  | Deep                           → Profound, Chengsui
sui      | 隧  | Tunnel                         → [无建议, 可用首字母: CEGHIJKLNOPQRUVWXYZ]
sui      | 绥  | Soothe                         → Jinsuijiefangqulieshilingyuan, Guisui, Jin
sui      | 燧  | Flint                          → Huasui, Yaosui, Yao
sui      | 睢  | Stare                          → Reckless
sui      | 濉  | Sui River                      → [无建议, 可用首字母: CEGHIJKLNOPQRUVWXYZ]
suo      | 索  | Rope                           → Burkina, Mosuolasi, News
suo      | 缩  | Shrink                         → Zoom, Enriched, Flexibility
suo      | 琐  | Small                          → Trifles, Ugly, Troublesome
suo      | 嗦  | Repeat                         → Tremble, Trembling
suo      | 蓑  | Straw raincoat                 → [无建议, 可用首字母: ABEFGHJKMNOQTUVXYZ]
suo      | 桫  | Cycad                          → [无建议, 可用首字母: ABEFGHJKMNOQTUVXYZ]
suo      | 唢  | Suona                          → [无建议, 可用首字母: ABEFGHJKMNOQTUVXYZ]
suo      | 羧  | Carboxyl                       → [无建议, 可用首字母: ABEFGHJKMNOQTUVXYZ]
ta       | 她  | She                            → [无建议, 可用首字母: ABEGJKLMNPQRUVWXYZ]
ta       | 塔  | Tower                          → Zushita, Mota, Linjisichenglingta
ta       | 踏  | Tread                          → Place, Walk, Rapid
ta       | 塌  | Collapse                       → Wholeheartedly, Messy, Press
ta       | 榻  | Couch                          → Bed
ta       | 蹋  | On                             → [无建议, 可用首字母: ABEGJKLMNPQRUVWXYZ]
ta       | 遢  | Sloppy                         → [无建议, 可用首字母: ABEGJKLMNPQRUVWXYZ]
ta       | 獭  | Otter                          → Water, Pika
tai      | 台  | Platform                       → Yutaiyan, Juyongguanyuntai, Yingtai
tai      | 态  | State                          → Ecological, Ecological, Natural
tai      | 泰  | Safe                           → Qingtai, River, Yuantai
tai      | 跆  | Taekwondo                      → [无建议, 可用首字母: ABCEGHIJKNOQRUWXYZ]
tai      | 钛  | Titanium                       → [无建议, 可用首字母: ABCEGHIJKNOQRUWXYZ]
tai      | 肽  | Peptide                        → Endorphin
tai      | 酞  | Phthalate                      → Wudatai
tan      | 谈  | Talk                           → Yan’an, Negotiation, Have
tan      | 叹  | Sigh                           → Heave, Lament, Longing
tan      | 弹  | Bullet                         → High, Hydrogen, Rain
tan      | 摊  | Spread                         → Used, Leveling
tan      | 滩  | Beach                          → Hetan, Waitan, Longgutan
tan      | 谭  | Talk                           → Yuantan, Hatan, Huantan
tan      | 毯  | Carpet                         → Woolen
tan      | 炭  | Coal                           → [无建议, 可用首字母: HKLNOQRUVWXYZ]
tan      | 檀  | Sandalwood                     → Red
tan      | 碳  | Carbon                         → Low-carbon, High, Low-carbon
tan      | 袒  | Bare                           → Unveiled
tan      | 坍  | Collapse                       → [无建议, 可用首字母: HKLNOQRUVWXYZ]
tan      | 郯  | Surname Tan                    → [无建议, 可用首字母: HKLNOQRUVWXYZ]
tang     | 汤  | Soup                           → Xiaotangshan, Emperor, Jintang
tang     | 糖  | Sugar                          → Low-sugar, Addition, White
tang     | 趟  | Trip                           → First
tang     | 烫  | Hot                            → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tang     | 堂  | Hall                           → Jiangzhoudatang, Lijiacitang, Yuetang
tang     | 膛  | Chest                          → Face, Furnace
tang     | 倘  | If                             → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tang     | 棠  | Crabapple                      → Zuo, Liushaotang, Zuozongtang
tang     | 搪  | Block                          → Enamel
tang     | 傥  | If                             → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tang     | 瑭  | Tang (dynasty)                 → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tang     | 镗  | Bore                           → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tang     | 羰  | Carbonyl                       → [无建议, 可用首字母: AEFJKLNOQUVWXYZ]
tao      | 桃  | Peach                          → Cherry, Xiaotaoyuan, Yingtaozi
tao      | 陶  | Pottery                        → Ceramic, Edify, Utility
tao      | 萄  | Grape                          → [无建议, 可用首字母: CEIJKLMNOQUVXYZ]
tao      | 淘  | Pan                            → Eliminate, Naughty
tao      | 饕  | Glutton                        → [无建议, 可用首字母: CEIJKLMNOQUVXYZ]
ti       | 提  | Carry                          → Yimiti, Weisikangti, Mention
ti       | 题  | Topic                          → Math, Each, Inscription
ti       | 涕  | Tear                           → Weeping, Nasal, Weep
ti       | 啼  | Cry                            → Yuán, Nightingale, Moon
ti       | 屉  | Shelf                          → [无建议, 可用首字母: EGIJMNOQVWXYZ]
ti       | 剃  | Cut                            → [无建议, 可用首字母: EGIJMNOQVWXYZ]
ti       | 嚏  | Sneeze                         → [无建议, 可用首字母: EGIJMNOQVWXYZ]
tian     | 天  | Sky                            → Taipingtianguofuwangfu, Tianxu, Emperor
tian     | 田  | Farm                           → Tianxu, Tianfu, Gutan
tian     | 甜  | Sweet                          → Melon, Bell, Rum
tian     | 填  | Fill                           → Insert, Have, Data
tian     | 恬  | Calm                           → Meng, Mengtian, Zhuobingtian
tian     | 腆  | Shy                            → [无建议, 可用首字母: BDEGHIJKMNOPQRTUVWXYZ]
tian     | 阗  | Crowded                        → Wanfanglezouyouyutian, Deafening, Yutian
ting     | 停  | Stop                           → Non-stop, Zhengting, Unceasing
ting     | 厅  | Hall                           → Exhibition, Reception, Official
ting     | 挺  | Firm                           → Elegant, Advance, Yangtingwei
ting     | 庭  | Hall                           → Rear, Appear, Wentingyun|wentingjun
ting     | 汀  | Sandbar                        → Ailunbositing, Jiasiting, Wujingting
ting     | 烃  | Hydrocarbon                    → Aromatic, Alkyl, Alkanes
ting     | 町  | Field                          → Xinding, Xiading, Zhaozhen
tong     | 同  | Same                           → However, Xiaoshunhutong, Dead
tong     | 通  | Connect                        → News, Ventilate, Master
tong     | 痛  | Pain                           → Illness, Happy, Abdominal
tong     | 童  | Child                          → Yangtongshu, Disabled, Age-Appropriate
tong     | 铜  | Copper                         → Money, Dagongshanfenghuangshantongkuangyizhi, Iron
tong     | 筒  | Tube                           → Microphone, Windpipe, Air
tong     | 桐  | Paulownia                      → Linbotong, Liyitong, Xutongxi
tong     | 佟  | Surname Tong                   → [无建议, 可用首字母: ADFHIJLMNOQVWXYZ]
tong     | 潼  | Tong River                     → Zitong, Lintong
tou      | 头  | Top                            → Close-up, Landing, Without
tou      | 投  | Throw                          → Voting, Insurance, Vote
tu       | 突  | Sudden                         → Zhengwugongjijuetu, Guitu, Highlighted
tu       | 吐  | Spit                           → Induce, Tuyuhun, Tunan
tu       | 途  | Road                           → Along, Important, Lost
tu       | 涂  | Spread                         → Tuying, Dab, Paint
tu       | 屠  | Butcher                        → Tugeniefu, Qijifututa, Tuji
tu       | 兔  | Rabbit                         → Tubage, Water, White
tu       | 秃  | Bald                           → Tufashi, Vulture, Tubiweng
tu       | 荼  | Bitter herb                    → Like, Door
tu       | 堍  | Slope                          → [无建议, 可用首字母: ADGHIJKLNOPQTUVWXYZ]
tuan     | 湍  | Rapid                          → [无建议, 可用首字母: ABCDEFHIJKLMNOPQSTUVWXYZ]
tuan     | 抟  | Roll                           → Chen, Zhaonaituan, Chentuan
tuo      | 拖  | Drag                           → Mop, Jianguotuolei, Arrears
tuo      | 托  | Hold                           → Rostok, Asituoli, Alisituofen
tuo      | 拓  | Develop                        → Mingyuandituobasi, Network, Jitiantuolang
tuo      | 陀  | Crag                           → Zhaotuo, Amitabha, Goutoutuo
tuo      | 驼  | Camel                          → Luotuonai, Alpaca, Luotuoxiangzi
tuo      | 驮  | Carry on back                  → Vajra
tuo      | 佗  | He                             → Guituo, Jituo, Zhouzhuangwangjituo
tuo      | 椭  | Oval                           → [无建议, 可用首字母: AFGIJKLMNQRUVXYZ]
tuo      | 砣  | Weight                         → [无建议, 可用首字母: AFGIJKLMNQRUVXYZ]
tuo      | 鸵  | Ostrich                        → [无建议, 可用首字母: AFGIJKLMNQRUVXYZ]
tuo      | 跎  | Wander                         → Years
wa       | 哇  | Wow                            → Java, Crying, Excellent
wa       | 佤  | Wa (ethnic)                    → [无建议, 可用首字母: ACEGIJKLMOPQRUVXYZ]
wan      | 晚  | Late                           → Old, Delayed, Evening
wan      | 玩  | Play                           → Eat, Electric, Doll
wan      | 弯  | Bend                           → Qu
wan      | 碗  | Bowl                           → Rice, Kitchen, Half
wan      | 湾  | Bay                            → Zhaojiawan, Mengjialawan, Jiao
wan      | 挽  | Pull                           → Raise, Retrieve, Hand
wan      | 腕  | Wrist                          → Operculum, Hanging
wan      | 宛  | As                             → Dayuan, Dawanma, Jiaowaner
wan      | 丸  | Pill                           → Melon, Dashewan, Zhongwanxiongyi
